District,State,Political outlook,Leadership and Title ,First Name,Last Name,Nickname,Party ,H.R.6408 (Vote Held),H.R.7921         (No Vote Held),H. R. 6090 (Vote Held),H.R.666              (No Vote Held),H.R. 4627             (No Vote Held),H.Res.786            (No Vote Held),H.Res.845 (Vote Held) ,H.R. 3985       (No Vote Held),H. Res. 989       (No Vote Held),H.R. 4639       (No Vote Held),H.R.6126 (Vote Held),H.R.635 (No Vote Held),H.Res.246 (No Vote Held),H.Res.76 (Vote Held),H.R.556 (No Vote Held),H. Res. 414 (No Vote Held) ,H.R. 1511 (No Vote Held),H.R.1325 (No Vote Held),H.R.8034 (Vote Held),,"Letter Condemning Hamas Attacks, Urging Protection of Innocent Civilian Lives",Lawmakers Seek Information from Big Banks on Account Closure Practices that Discriminate Against Muslim Americans,"Lawmakers Raise Concern over Accuracy, Due Process, Civil Rights Violations with Terrorism Watchlist",Discharge Petition No. 9: Motion to Discharge a Committee from the Consideration of a Resolution,,,Headshot URL
SD01,SD,Up for re-election in 2024,Rep. ,Dustin,Johnson,Dusty,R,Y,,Y,,,,Y(C),,,,Y(C),,,Y,,,,,Y,,,,,,Dustin,Johnson,
OH04,OH,Up for re-election in 2024,Rep. ,James,Jordan,Jim,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,James,Jordan,
OH14,OH,Up for re-election in 2024,Rep. ,David,Joyce,Dave,R,Y,,Y,,,,,,,,Not voting(C),,,P,,,,,Y,,,,,,David,Joyce,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/David_Joyce_%28cropped%29.jpg/75px-David_Joyce_%28cropped%29.jpg
PA13,PA,Up for re-election in 2024,Rep. ,John,Joyce,,R,Y,,Y,,,,Y,,,,Y,,,T,,,,,Y,,,,,,John,Joyce,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/John_Joyce%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-John_Joyce%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
CA37,CA,Up for re-election in 2024,Rep. ,Sydney,Kamlager-Dove,,D,Not voting,,Y,,,,N,,,,N,,(C),N,,(C),(C),,Y,,Signed,,,Signed,Sydney,Kamlager-Dove,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Rep._Sydney_Kamlager_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Sydney_Kamlager_-_118th_Congress_%28cropped%29.jpg
OH09,OH,Up for re-election in 2024,Rep. ,Marcy,Kaptur,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,Signed,,,Signed,Marcy,Kaptur,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Marcy_Kaptur_Wikipedia_%28cropped%29.jpg/75px-Marcy_Kaptur_Wikipedia_%28cropped%29.jpg
NJ07,NJ,Up for re-election in 2024,Rep. ,Thomas,Kean,Tom,R,Y,(C),Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Thomas,Kean,
MA09,MA,Up for re-election in 2024,Rep. ,William,Keating,Bill,D,Not voting,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,William,Keating,
IL02,IL,Up for re-election in 2024,Rep. ,Robin,Kelly,,D,Y,,N,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Robin,Kelly,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Rep._Robin_Kelly%2C_117th_Congress_%28cropped%29.jpg/75px-Rep._Robin_Kelly%2C_117th_Congress_%28cropped%29.jpg
PA16,PA,Up for re-election in 2024,Rep. ,George,Kelly,Mike,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,George,Kelly,
MS01,MS,Up for re-election in 2024,Rep. ,Trent,Kelly,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Trent,Kelly,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Trent_Kelly%2C_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg/75px-Trent_Kelly%2C_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg
CA17,CA,Up for re-election in 2024,Rep. ,Rohit,Khanna,Ro,D,Y,,N,(C),,,N,(C),(C),,N,,(C),N,,,(C),,N,,,,,,Rohit,Khanna,
VA02,VA,Up for re-election in 2024,Rep. ,Jennifer,Kiggans,Jen,R,Y,,Y,,,,Not voting,,,,Y,,,Y,,,,,Y,,,,,,Jennifer,Kiggans,
MI08,MI,Retiring at the end of current term,Rep. ,Daniel,Kildee,Dan,D,Y,,Y,,,,N,,,,N,,(C),N,(C),,,,N,,Signed,,,Signed,Daniel,Kildee,
CA03,CA,Up for re-election in 2024,Rep. ,Kevin,Kiley,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Kevin,Kiley,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Rep._Kevin_Kiley_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Kevin_Kiley_official_photo%2C_118th_Congress_%28cropped%29.jpg
WA06,WA,Retiring at the end of current term,Rep. ,Derek,Kilmer,,D,Y,(C),Y,(C),,,N,,,,N,,,N,,,,,Y,,,,,Signed,Derek,Kilmer,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Derek_Kilmer_113th_Congress_%28cropped%29.jpg/75px-Derek_Kilmer_113th_Congress_%28cropped%29.jpg
NJ03,NJ,Running for Senate in 2024,Rep. ,Andrew,Kim,Andy,D,Y,,N,,,,N,,,,Y,,,N,,,,,Y,,,,,Signed,Andrew,Kim,
CA40,CA,Up for re-election in 2024,Rep. ,Young,Kim,,R,Y,,Y,,,,Y,,,,N,,,Y,,,,,Y,,,,,,Young,Kim,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Young_Kim_117th_U.S_Congress_%28cropped%29.jpg/75px-Young_Kim_117th_U.S_Congress_%28cropped%29.jpg
IL08,IL,Up for re-election in 2024,Rep. ,Raja,Krishnamoorthi,,D,Y,,Y,(C),,,N,,(C),,N,,,N,(C),,,(C),Y,,,,,Signed,Raja,Krishnamoorthi,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Raja_Krishnamoorthi_official_photo_%28cropped%29.jpg/75px-Raja_Krishnamoorthi_official_photo_%28cropped%29.jpg
NH02,NH,Up for re-election in 2024,Rep. ,Ann,Kuster,Annie,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Ann,Kuster,
TN08,TN,Up for re-election in 2024,Rep. ,David,Kustoff,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,David,Kustoff,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Kustoff_Official_Headshot_%28cropped%29.jpg/75px-Kustoff_Official_Headshot_%28cropped%29.jpg
IL16,IL,Up for re-election in 2024,Rep. ,Darin,LaHood,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Darin,LaHood,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Darin_LaHood_official_photo_%28cropped%29.jpg/75px-Darin_LaHood_official_photo_%28cropped%29.jpg
NY01,NY,Up for re-election in 2024,Rep. ,Nick,Lalota,,R,Y,(C),Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Nick,Lalota,
CA01,CA,Up for re-election in 2024,Rep. ,Douglas,LaMalfa,Doug,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Douglas,LaMalfa,
CO05,CO,Retiring at end of current term,Rep. ,Douglas,Lamborn,Doug,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Douglas,Lamborn,
OH01,OH,Up for re-election in 2024,Rep. ,Greg,Landsman,,D,Y,,Y,,,,Y,,,,Y,,,N,,,,,Y,,,,,Signed,Greg,Landsman,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Greg_Landsman_Official_Portrait_118th_Congress_%28cropped%29.jpg/75px-Greg_Landsman_Official_Portrait_118th_Congress_%28cropped%29.jpg
NY23,NY,Up for re-election in 2024,Rep. ,Nicholas,Langworthy,Nick,R,Y,,Y,,,,Y(C),,,,Y(C),,,Y,,,,,Y,,,,,,Nicholas,Langworthy,
WA02,WA,Up for re-election in 2024,Rep. ,Rick,Larsen,,D,Y,,Y,,,,Not voting,,,,N,,,N,,,,,Y,,,,,Signed,Rick,Larsen,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Rick_Larsen_116th_Congress_official_photo_%28cropped%29.jpg/75px-Rick_Larsen_116th_Congress_official_photo_%28cropped%29.jpg
CT01,CT,Up for re-election in 2024,Rep. ,John,Larson,,D,Y,,Y,,,,N,(C),,,N,,(C),Y,,,,,Y,,,,,Signed,John,Larson,
OH05,OH,Up for re-election in 2024,Rep. ,Robert,Latta,Bob,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Robert,Latta,
KS02,KS,Up for re-election in 2024,Rep. ,Jacob,Laturner,Jake,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Jacob,Laturner,
NY17,NY,Up for re-election in 2024,Rep. ,Michael,Lawler,Mike,R,Y,(C),Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,Michael,Lawler,
CA12,CA,Running for Senate in 2024,Rep. ,Barbara,Lee,,D,Y,,N,(C),,(C),N,,(C),,N,,(C),N,(C),(C),(C),,N,,Signed,,Signed,,Barbara,Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/U.S._Rep._Barbara_Lee_-_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg/75px-U.S._Rep._Barbara_Lee_-_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg
NV03,NV,Up for re-election in 2024,Rep. ,Susie,Lee,,D,Y,,Y,,,,Y,,,,N,,,N,,,,,Y,,,,,Signed,Susie,Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/U.S._Representative_Susie_Lee%2C_117th_Congress_%28cropped%29.jpg/75px-U.S._Representative_Susie_Lee%2C_117th_Congress_%28cropped%29.jpg
FL15,FL,Up for re-election in 2024,Rep. ,Laurel,Lee,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,N,Y,,,,,,Laurel,Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Rep._Laurel_Lee_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Laurel_Lee_official_photo%2C_118th_Congress_%28cropped%29.jpg
PA12,PA,Up for re-election in 2024,Rep. ,Summer,Lee,,D,Y,,N,(C),,(C),N,(C),,,N,,,N,,(C),,,N,,Signed,,,,Summer,Lee,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Rep._Summer_Lee_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Summer_Lee_-_118th_Congress_%28cropped%29.jpg
NM03,NM,Up for re-election in 2024,Rep. ,Teresa,Leger Fernandez,,D,Y,(C),N,(C),,,N,,,,N,,,N,,,(C),,Y,,,,,Signed,Teresa,Leger Fernandez,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Teresa_Leger_Fernandez_117th_U.S_Congress_%28cropped%29.jpg/75px-Teresa_Leger_Fernandez_117th_U.S_Congress_%28cropped%29.jpg
AZ08,AZ,Running for county board of supervisors,Rep. ,Debbie,Lesko,,R,Y,,Y,,,,Y,,,,Not Voting (C),,,Y,,,,,Y,,,,,,Debbie,Lesko,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Debbie_Lesko_118th_Cong.jpeg/75px-Debbie_Lesko_118th_Cong.jpeg
LA05,LA,Up for re-election in 2024,Rep. ,Julia,Letlow,,R,Not voting,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Julia,Letlow,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Julia_Letlow_official_portrait%2C_117th_Congress_%28tight_crop%29.jpg/75px-Julia_Letlow_official_portrait%2C_117th_Congress_%28tight_crop%29.jpg
CA49,CA,Up for re-election in 2024,Rep. ,Michael,Levin,Mike,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Michael,Levin,
CA36,CA,Up for re-election in 2024,Rep. ,Ted,Lieu,,D,Y,(C),Y,(C),,,N,,,,N,,,N,,,(C),N,Y,,,,,Signed,Ted,Lieu,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/Congressman_Ted_W._Lieu_official_photo_%28cropped%29.jpg/75px-Congressman_Ted_W._Lieu_official_photo_%28cropped%29.jpg
CA18,CA,Up for re-election in 2024,Rep. ,Susan,Lofgren,Zoe,D,Y,,N,(C),(C),,N,,,(C),N,,,N,,,(C),N,Y,,Signed,,,Signed,Susan,Lofgren,
GA11,GA,Up for re-election in 2024,Rep. ,Barry,Loudermilk,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Barry,Loudermilk,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Barry_Loudermilk%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg/75px-Barry_Loudermilk%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg
OK03,OK,Up for re-election in 2024,Rep. ,Frank,Lucas,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Frank,Lucas,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Rep._Frank_Lucas_Official_Photo_%28cropped%29.png/75px-Rep._Frank_Lucas_Official_Photo_%28cropped%29.png
MO03,MO,Retiring at end of current term,Rep. ,Blaine,Luetkemeyer,,R,Not voting,,Y,,,,Y,,,,Y,,,Y,,,,,Not Voting,,,,,,Blaine,Luetkemeyer,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Blaine_Luetkemeyer%2C_Official_Portrait%2C_116th_congress_%28cropped%29.jpg/75px-Blaine_Luetkemeyer%2C_Official_Portrait%2C_116th_congress_%28cropped%29.jpg
FL13,FL,Up for re-election in 2024,Rep. ,Anna,Luna,,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Anna,Luna,
TX08,TX,Up for re-election in 2024,Rep. ,Morgan,Luttrell,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Morgan,Luttrell,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Rep._Morgan_Luttrell_official_photo_%28cropped%29.jpg/76px-Rep._Morgan_Luttrell_official_photo_%28cropped%29.jpg
MA08,MA,Up for re-election in 2024,Rep. ,Stephen,Lynch,,D,Y,,Y,,,,N,,,,N,,(C),N,(C),,,,Y,,,,,Signed,Stephen,Lynch,
SC01,SC,Up for re-election in 2024,Rep. ,Nancy,Mace,,R,Y,,Y,,(C),,Y,,,,Y,,(C),Y,,,,,Y,,,,,,Nancy,Mace,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Nancy_Mace_%28cropped%29.jpg/75px-Nancy_Mace_%28cropped%29.jpg
RI02,RI,Up for re-election in 2024,Rep. ,Seth,Magaziner,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Seth,Magaziner,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Seth_Magaziner_%28cropped%29.jpg/75px-Seth_Magaziner_%28cropped%29.jpg
NY11,NY,Up for re-election in 2024,Rep. ,Nicole,Malliotakis,,R,Y,(C),Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Nicole,Malliotakis,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Nicole_Malliotakis%2C_official_portrait%2C_117th_Congress_%28tight_crop%29.jpg/75px-Nicole_Malliotakis%2C_official_portrait%2C_117th_Congress_%28tight_crop%29.jpg
UT02,UT,Up for re-election in 2024,Rep. ,Celeste,Maloy,,R,Y,,Y,,,,,,,,,,,,,,,,Y,,,,,,Celeste,Maloy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Celeste_Maloy_118th_Congress_%28cropped%29.jpeg/75px-Celeste_Maloy_118th_Congress_%28cropped%29.jpeg
KS01,KS,Up for re-election in 2024,Rep. ,Tracey,Mann,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Tracey,Mann,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Tracey_Mann%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg/75px-Tracey_Mann%2C_official_portrait%2C_117th_Congress_%28cropped%29.jpg
NC06,NC,Retiring at end of current term,Rep. ,Kathy,Manning,,D,Y,,Y,,,,Y,,,,N,,,N,,,,,Y,,,,,Signed,Kathy,Manning,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Kathy_Manning_117th_U.S_Congress_%28cropped%29.jpg/75px-Kathy_Manning_117th_U.S_Congress_%28cropped%29.jpg
KY04,KY,Up for re-election in 2024,Rep. ,Thomas,Massie,,R,N,,N,,,,N,,,(C),N,,,Y,,,,N,N,,,,,,Thomas,Massie,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Thomas_Massie_official_portrait_%28cropped%29.jpg/75px-Thomas_Massie_official_portrait_%28cropped%29.jpg
FL21,FL,Up for re-election in 2024,Rep. ,Brian,Mast,,R,Not voting,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Brian,Mast,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Brian_Mast_official_115th_Congress_photo_%28cropped%29.jpg/75px-Brian_Mast_official_115th_Congress_photo_%28cropped%29.jpg
CA07,CA,Up for re-election in 2024,Rep. ,Doris,Matsui,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Doris,Matsui,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Doris_Matsui_Official_Photo_%28cropped%29.JPG/75px-Doris_Matsui_Official_Photo_%28cropped%29.JPG
GA07,GA,Up for re-election in 2024,Rep. ,Lucia,McBath,Lucy,D,Y,,Y,,,,N,,,,N,,,N,,,,N,Y,,,,Signed,,Lucia,McBath,
TX10,TX,Up for re-election in 2024,Rep. ,Michael,McCaul,,R,Not voting,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Michael,McCaul,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Rep._Michael_McCaul%2C_official_portrait%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Michael_McCaul%2C_official_portrait%2C_118th_Congress_%28cropped%29.jpg
MI09,MI,Up for re-election in 2024,Rep. ,Lisa,McClain,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Lisa,McClain,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Lisa_McClain_117th_U.S_Congress_%28cropped%29.jpg/75px-Lisa_McClain_117th_U.S_Congress_%28cropped%29.jpg
VA04,VA,Up for re-election in 2024,Rep. ,Jennifer,McClellan,Jenn,D,Y,,N,,,,N,(C),,,N,,,,,,,,Y,,,,,Signed,Jennifer,McClellan,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/U.S._Rep._Jennifer_McClellan_-_118th_Congress_%28cropped%29.jpg/75px-U.S._Rep._Jennifer_McClellan_-_118th_Congress_%28cropped%29.jpg
CA05,CA,Up for re-election in 2024,Rep. ,Thomas,McClintock,Tom,R,Y,,Y,,,,N,,,,Y(C),,,Y,,,,N,Y,,,,,,Thomas,McClintock,
MN04,MN,Up for re-election in 2024,Rep. ,Betty,McCollum,,D,Y,,N,,,,N,(C),,,N,,,N,,,,,Y,,Signed,,,Signed,Betty,McCollum,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Betty_McCollum%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Betty_McCollum%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
GA06,GA,Up for re-election in 2024,Rep. ,Richard,McCormick,Rich,R,Y,,Y,,,,Y(S),,,,Y,,,Y,,,,,Y,,,,,,Richard,McCormick,
KY03,KY,Up for re-election in 2024,Rep. ,Morgan,McGarvey,,D,Y,,N,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Morgan,McGarvey,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Rep._Morgan_McGarvey_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Morgan_McGarvey_-_118th_Congress_%28cropped%29.jpg
MA02,MA,Up for re-election in 2024,Rep. ,James,McGovern,Jim,D,Y,,N,(C),(C),,N,(C),,,N,,,N,,,(C),Y,N,,Signed,,,Signed,James,McGovern,
NC10,NC,Retiring at the end of current term,Rep. ,Patrick,McHenry,Pat,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Patrick,McHenry,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Patrick_McHenry%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Patrick_McHenry%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
WA05,WA,Up for re-election in 2024,Rep. ,Cathy,McMorris Rodgers,,R,,,Y,,,,Y,,,,(C),,,,,,,,Y,,,,,,Cathy,McMorris Rodgers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Cathy_McMorris_Rodgers_official_photo_%28cropped%29.jpg/75px-Cathy_McMorris_Rodgers_official_photo_%28cropped%29.jpg
NY05,NY,Up for re-election in 2024,Rep. ,Gregory,Meeks,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Gregory,Meeks,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Gregory_Meeks%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg/75px-Gregory_Meeks%2C_official_portrait%2C_115th_congress_%28cropped%29.jpg
NJ08,NJ,Up for re-election in 2024,Rep. ,Robert,Menendez,Rob,D,Y,,Y,,,,N,,,,N,,,N,,,,Y,Y,,,,,Signed,Robert,Menendez,
NY06,NY,Up for re-election in 2024,Rep. ,Grace,Meng,,D,Not voting,(C),Y,(C),,,N,,,,N,,,N,(C),,(C),,Y,,,,,Signed,Grace,Meng,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Grace_Meng_Official_Congressional_Photo_%28cropped%29.jpg/75px-Grace_Meng_Official_Congressional_Photo_%28cropped%29.jpg
PA09,PA,Up for re-election in 2024,Rep. ,Daniel,Meuser,Dan,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Daniel,Meuser,
MD07,MD,Up for re-election in 2024,Rep. ,Kweisi,Mfume,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Kweisi,Mfume,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Kweisi_Mfume%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Kweisi_Mfume%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg
WV01,WV,Up for re-election in 2024,Rep. ,Carol,Miller,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Carol,Miller,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3f/Carol_Miller%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg/75px-Carol_Miller%2C_Official_Portrait%2C_116th_Congress_%28cropped%29.jpg
IL15,IL,Up for re-election in 2024,Rep. ,Mary,Miller,,R,Y,,Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Mary,Miller,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Mary_Miller_117th_U.S_Congress_%28cropped%29.jpg/75px-Mary_Miller_117th_U.S_Congress_%28cropped%29.jpg
OH07,OH,Up for re-election in 2024,Rep. ,Max,Miller,,R,Y,(C),Y,,,,Y(C),,,,Y,,,Y(S),,,,,Y,,,,,,Max,Miller,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/MaxMiller118thCong_%28cropped%29.jpeg/75px-MaxMiller118thCong_%28cropped%29.jpeg
IA01,IA,Up for re-election in 2024,Rep. ,Mariannette,Miller-Meeks,,R,Y,,Y,,(S),,Y(C),,,,Y(C),,,Y,,,,,Y,,,,,,Mariannette,Miller-Meeks,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Mariannette_Miller-Meeks_117th_U.S_Congress_%28cropped%29.jpg/75px-Mariannette_Miller-Meeks_117th_U.S_Congress_%28cropped%29.jpg
FL07,FL,Up for re-election in 2024,Rep. ,Cory,Mills,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,N,,,,,,Cory,Mills,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Representative_Cory_Mills_Cropped_Portrait_%28cropped%29.jpg/81px-Representative_Cory_Mills_Cropped_Portrait_%28cropped%29.jpg
NY19,NY,Up for re-election in 2024,Rep. ,Marcus,Molinaro,Marc,R,Y,(C),Y,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Marcus,Molinaro,
MI02,MI,Up for re-election in 2024,Rep. ,John,Moolenaar,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,John,Moolenaar,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/John_Moolenaar_%28cropped%29.jpg/75px-John_Moolenaar_%28cropped%29.jpg
WV02,WV,Running for Senate in 2024,Rep. ,Alexander,Mooney,Alex,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Not Voting,,,,,,Alexander,Mooney,
WI04,WI,Up for re-election in 2024,Rep. ,Gwendolynne,Moore,Gwen,D,Not voting,,N,(C),,,N,,,,N,,(C),N,(C),,(C),,Y,,Signed,,,Signed,Gwendolynne,Moore,
AL02,AL,Up for re-election in 2024,Rep. ,Felix,Moore,Barry,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,N,Y,,,,,,Felix,Moore,
UT01,UT,Up for re-election in 2024,Rep. ,Blake,Moore,,R,Y,,Y,,(C),,Y,,,,Y,,,Y,,,,,Y,,,,,,Blake,Moore,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Blake_Moore_117th_U.S_Congress_%28cropped%29.jpg/75px-Blake_Moore_117th_U.S_Congress_%28cropped%29.jpg
TX01,TX,Up for re-election in 2024,Rep. ,Nathaniel,Moran,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,N,Y,,,,,,Nathaniel,Moran,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Rep._Nathaniel_Moran_official_photo%2C_118th_Congress_%28cropped%29.jpg/78px-Rep._Nathaniel_Moran_official_photo%2C_118th_Congress_%28cropped%29.jpg
NY25,NY,Up for re-election in 2024,Rep. ,Joseph,Morelle,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Joseph,Morelle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Joe_Morelle_official_photo_%28cropped%29.jpg/75px-Joe_Morelle_official_photo_%28cropped%29.jpg
FL23,FL,Up for re-election in 2024,Rep. ,Jared,Moskowitz,,D,Y,(C),Y,,,,Y,,,,Y,,,N,,,,,Y,,,,,Signed,Jared,Moskowitz,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Rep._Jared_Moskowitz_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Jared_Moskowitz_-_118th_Congress_%28cropped%29.jpg
MA06,MA,Up for re-election in 2024,Rep. ,Seth,Moulton,,D,Y,(C),Y,,(C),,N,,,,N,,,N,,,,,Y,,,,,Signed,Seth,Moulton,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Seth_Moulton_%28cropped_2%29.jpg/75px-Seth_Moulton_%28cropped_2%29.jpg
GU01,GU,Up for re-election in 2024,Rep. ,James,Moylan,Jim,R,Y,,Y,,,,,,,,,,,,,,,,,,,,,,James,Moylan,
IN01,IN,Up for re-election in 2024,Rep. ,Frank,Mrvan,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Frank,Mrvan,
