District,State,Political outlook,Leadership and Title ,First Name,Last Name,Nickname,Party ,H.R.6408 (Vote Held),H.R.7921         (No Vote Held),H. R. 6090 (Vote Held),H.R.666              (No Vote Held),H.R. 4627             (No Vote Held),H.Res.786            (No Vote Held),H.Res.845 (Vote Held) ,H.R. 3985       (No Vote Held),H. Res. 989       (No Vote Held),H.R. 4639       (No Vote Held),H.R.6126 (Vote Held),H.R.635 (No Vote Held),H.Res.246 (No Vote Held),H.Res.76 (Vote Held),H.R.556 (No Vote Held),H. Res. 414 (No Vote Held) ,H.R. 1511 (No Vote Held),H.R.1325 (No Vote Held),H.R.8034 (Vote Held),,"Letter Condemning Hamas Attacks, Urging Protection of Innocent Civilian Lives",Lawmakers Seek Information from Big Banks on Account Closure Practices that Discriminate Against Muslim Americans,"Lawmakers Raise Concern over Accuracy, Due Process, Civil Rights Violations with Terrorism Watchlist",Discharge Petition No. 9: Motion to Discharge a Committee from the Consideration of a Resolution,,,Headshot URL
IL12,IL,Up for re-election in 2024,Rep. ,Michael,Bost,Mike,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michael,Bost,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Rep._Mike_Bost_official_photo%2C_117th_Congress_%28cropped%29.jpg/75px-Rep._Mike_Bost_official_photo%2C_117th_Congress_%28cropped%29.jpg
NY16,NY,Up for re-election in 2024,Rep. ,Jamaal,Bowman,,D,N,,N,(C),,(C),N,,(C),,N,,(C),N,,(C),(C),(C),N,,Signed,,,,Jamaal,Bowman,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Jamaal_Bowman_117th_U.S_Congress_%28cropped%29.jpg/75px-Jamaal_Bowman_117th_U.S_Congress_%28cropped%29.jpg
PA02,PA,Up for re-election in 2024,Rep. ,Brendan,Boyle,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Brendan,Boyle,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Brendan_Boyle_-_2018-05-21_ec_0004_%281%29.jpg/75px-Brendan_Boyle_-_2018-05-21_ec_0004_%281%29.jpg
OK02,OK,Up for re-election in 2024,Rep. ,Josh,Brecheen,,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Josh,Brecheen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Rep._Josh_Brecheen_official_photo%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Josh_Brecheen_official_photo%2C_118th_Congress_%28cropped%29.jpg
OH11,OH,Up for re-election in 2024,Rep. ,Shontel,Brown,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Shontel,Brown,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Shontel_Brown_1_%28cropped%29.png/75px-Shontel_Brown_1_%28cropped%29.png
CA26,CA,Up for re-election in 2024,Rep. ,Julia,Brownley,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Julia,Brownley,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Julia_Brownley_official_photo_%28cropped%29.jpg/75px-Julia_Brownley_official_photo_%28cropped%29.jpg
FL16,FL,Up for re-election in 2024,Rep. ,Vern,Buchanan,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Vern,Buchanan,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Vern_Buchanan_Official_%28cropped%29.jpg/75px-Vern_Buchanan_Official_%28cropped%29.jpg
CO04,CO,Retiring at the end of current term,Rep. ,Kenneth,Buck,Ken,R,,,Y,,,,N,,,(C),Y,,,Y,,,,,,,,,,Signed,Kenneth,Buck,
IN08,IN,Retiring at end of current term,Rep. ,Larry,Bucshon,,R,Y,(C),Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Larry,Bucshon,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Larry_Bucshon_official_congressional_photo_%28cropped%29.jpg/75px-Larry_Bucshon_official_congressional_photo_%28cropped%29.jpg
IL13,IL,Up for re-election in 2024,Rep. ,Nikki,Budzinski,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Nikki,Budzinski,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Rep._Nikki_Budzinski_official_portrait%2C_118th_Congress_%28cropped%29.jpg/75px-Rep._Nikki_Budzinski_official_portrait%2C_118th_Congress_%28cropped%29.jpg
TN02,TN,Up for re-election in 2024,Rep. ,Tim,Burchett,,R,Y,,Y,,(C),,Y,,,,Y(C),,,Y,,,,,N,,,,,,Tim,Burchett,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Rep._Tim_Burchett_official_photo%2C_116th_congress_%28cropped%29.jpg/75px-Rep._Tim_Burchett_official_photo%2C_116th_congress_%28cropped%29.jpg
TX26,TX,Retiring at the end of current term,Rep. ,Michael,Burgess,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Michael,Burgess,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Michael_Burgess_official_photo_%28cropped%29.jpg/75px-Michael_Burgess_official_photo_%28cropped%29.jpg
MO07,MO,Up for re-election in 2024,Rep. ,Eric,Burlison,,R,Y,,N,,,,Y,,,,Y,,,Y,,,,,Y,,,,,,Eric,Burlison,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Eric_Burlison_portrait_118th_%28cropped%29.jpg/75px-Eric_Burlison_portrait_118th_%28cropped%29.jpg
MO01,MO,Up for re-election in 2024,Rep. ,Cori,Bush,,D,N,,N,,,(S),N,,,,N,,,N,,(S),(C),,N,,,,,,Cori,Bush,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Cori_Bush_117th_U.S_Congress_%28cropped%29.jpg/75px-Cori_Bush_117th_U.S_Congress_%28cropped%29.jpg
CA41,CA,Up for re-election in 2024,Rep. ,Kenneth,Calvert,Ken,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y(C),,,,,,Kenneth,Calvert,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Ken_Calvert.jpg/75px-Ken_Calvert.jpg
FL03,FL,Up for re-election in 2024,Rep. ,Kathryn,Cammack,Kat,R,Y,,Y,,,,Y,,,,Y(C),,,Y,,,,,Y,,,,,,Kathryn,Cammack,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Rep._Kat_Cammack_official_photo%2C_117th_Congress_%28cropped%29.jpg/75px-Rep._Kat_Cammack_official_photo%2C_117th_Congress_%28cropped%29.jpg
CO08,CO,Up for re-election in 2024,Rep. ,Yadira,Caraveo,,D,Not voting,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Yadira,Caraveo,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Rep._Yadira_Caraveo_-_118th_Congress_%28cropped%29.jpg/75px-Rep._Yadira_Caraveo_-_118th_Congress_%28cropped%29.jpg
CA24,CA,Up for re-election in 2024,Rep. ,Salud,Carbajal,,D,Y,,Y,,,,N,,,,N,,,N,,,,,Y,,,,,Signed,Salud,Carbajal,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Salud_Carbajal_-_117th_Congress_%28cropped%29.jpg/75px-Salud_Carbajal_-_117th_Congress_%28cropped%29.jpg
CA29,CA,Retiring at the end of current term,Rep. ,Antonio,Cardenas,Tony,D,Y,,N,,,,N,,,,N,,(C),N,,,(C),,Y,,,,,Signed,Antonio,Cardenas,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Tony_C%C3%A1rdenas_114th_Congress_%28cropped%29.jpg/75px-Tony_C%C3%A1rdenas_114th_Congress_%28cropped%29.jpg
OH15,OH,Up for re-election in 2024,Rep. ,Mike,Carey,,R,Y,,Y,,,,Y,,,,Y(C),,,Y,(C),,,,Y,,,,,,Mike,Carey,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Mike_Carey_117th_Congress_%28cropped%29.jpg/75px-Mike_Carey_117th_Congress_%28cropped%29.jpg
