First Name,Last Name,Headshot,State,Political outlook,Leadership Position,Nickname,Party ,District,S.4091,S.4127,S. 1916,S. 2327,S. Res. 534,S.3168,S.Res.504,Letter A,Letter B,Letter C,Letter D
Gerald,Moran,//upload.wikimedia.org/wikipedia/commons/thumb/6/64/Sen._Todd_Young_official_photo_%28cropped%29.jpg/95px-Sen._Todd_Young_official_photo_%28cropped%29.jpg,KS,Up for re-election in 2028,,Jerry,R,KSS01,(C),(C),,(C),,,Y,,,,
Jacky,Rosen,//upload.wikimedia.org/wikipedia/commons/thumb/2/28/Jacky_Rosen%2C_official_portrait%2C_116th_congress_%28cropped-1%29.jpg/95px-Jacky_Rosen%2C_official_portrait%2C_116th_congress_%28cropped-1%29.jpg,NV,Up for re-election in 2024,,,D,NVS02,,(C),,,,,Y,,,,
James,Lankford,//upload.wikimedia.org/wikipedia/commons/thumb/9/94/James_Lankford_official_portrait%2C_118th_Congress_%28cropped%29.jpg/95px-James_Lankford_official_portrait%2C_118th_Congress_%28cropped%29.jpg,OK,Up for re-election in 2028,,,R,OKS01,(C),(C),,,,,Y,,,,
James,Risch,//upload.wikimedia.org/wikipedia/commons/thumb/6/68/Shaheen_Senate_Portrait_%28cropped%29_%28cropped%29.jpg/95px-Shaheen_Senate_Portrait_%28cropped%29_%28cropped%29.jpg,ID,Up for re-election in 2026,,Jim,R,IDS02,(C),,,(C),,,Y,,,,
James,Vance,//upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg/95px-Jeff_Merkley%2C_115th_official_photo_%28cropped%29.jpg,OH,Up for re-election in 2028,,Jd,R,OHS02,,,,,,(C),Y,,,,
Jeanne,Shaheen,//upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg/95px-Jerry_Moran%2C_official_portrait%2C_112th_Congress_%28cropped%29.jpg,NH,Up for re-election in 2026,,,D,NHS01,,,,(C),,,y,Signed,,,
Jeffrey,Merkley,//upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Jim_Risch_official_portrait_%28cropped%29.jpg/95px-Jim_Risch_official_portrait_%28cropped%29.jpg,OR,Up for re-election in 2026,,Jeff,D,ORS02,,,,,,,N,Signed,Signed,,
John,Barrasso,//upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Senator_Manchin_%28cropped%29.jpg/95px-Senator_Manchin_%28cropped%29.jpg,WY,Up for re-election in 2024,,,R,WYS01,,(C),,,,,Not Voting,,,,
John,Boozman,//upload.wikimedia.org/wikipedia/commons/thumb/4/42/John_Barrasso_official_portrait_112th_Congress_%28cropped%29.jpg/95px-John_Barrasso_official_portrait_112th_Congress_%28cropped%29.jpg,AR,Up for re-election in 2028,,,R,ARS01,,(C),,,,,Not Voting,,,,
John,Cornyn,//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Senator_John_Boozman_Official_Portrait_%28115th_Congress%29_%28cropped%29.jpg/95px-Senator_John_Boozman_Official_Portrait_%28115th_Congress%29_%28cropped%29.jpg,TX,Up for re-election in 2026,,,R,TXS01,,(C),,,,,Y,,,,
